Ім'я користувача;Дата;№1;№2;№3;№4;№5;№6;№7;№8;№9;№10;№11;№12;Час проходження;Результат червоний;Результат синій;Результат зелений
123;14.12.2019 14:37:17; ; ; ; ;+ 0:10;+ 0:5;+ 0:2;+ 0:2; ; ; ; ;0:19; ;Все добре; 
123;14.12.2019 14:38:20;+ 0:4;+ 0:2;+ 0:2;+ 0:3;+ 0:2;+ 0:1;+ 0:2;+ 0:2;+ 0:2;+ 0:3;+ 0:6;+ 0:3;0:32;Все добре;Все добре;Все добре
